Membership_Id,Check_In_Date,Check_In_Time,Check_Out_Time
"6W6I2","2018-01-26 00:00:00,000","128","388"
"6W6I2","2018-01-23 00:00:00,000","177","819"
"6W6I2","2017-02-15 00:00:00,000","1017","1108"
"6W6I2","2017-02-19 00:00:00,000","843","972"
"6W6I2","2017-07-21 00:00:00,000","1126","1173"
"5Y28Y","2017-06-10 00:00:00,000","983","1198"
"5Y28Y","2017-04-15 00:00:00,000","652","916"
"5Y28Y","2018-02-07 00:00:00,000","266","715"
"156A7","2017-04-11 00:00:00,000","371","907"
"156A7","2018-01-13 00:00:00,000","779","964"
"156A7","2017-10-02 00:00:00,000","995","1188"
"156A7","2017-08-21 00:00:00,000","590","954"
"156A7","2017-05-17 00:00:00,000","196","761"
"156A7","2017-10-24 00:00:00,000","65","590"
"156A7","2018-03-29 00:00:00,000","596","917"
"156A7","2018-01-28 00:00:00,000","120","990"
"156A7","2017-10-13 00:00:00,000","899","1045"
"156A7","2017-07-08 00:00:00,000","693","1078"
"156A7","2018-01-04 00:00:00,000","1149","1168"
"156A7","2018-03-27 00:00:00,000","213","508"
"156A7","2017-09-09 00:00:00,000","638","1084"
"156A7","2017-05-16 00:00:00,000","866","1012"
"156A7","2017-12-31 00:00:00,000","552","1127"
"156A7","2017-04-05 00:00:00,000","276","308"
"156A7","2018-01-06 00:00:00,000","241","311"
"156A7","2017-08-27 00:00:00,000","759","1015"
"156A7","2017-01-14 00:00:00,000","756","859"
"156A7","2017-06-29 00:00:00,000","202","463"
"156A7","2017-03-30 00:00:00,000","432","934"
"156A7","2017-12-01 00:00:00,000","1020","1112"
"156A7","2017-04-09 00:00:00,000","1130","1164"
"156A7","2017-06-30 00:00:00,000","159","633"
"156A7","2017-04-09 00:00:00,000","78","796"
"156A7","2017-05-18 00:00:00,000","150","724"
"156A7","2017-05-24 00:00:00,000","95","413"
"156A7","2017-02-12 00:00:00,000","1055","1069"
"156A7","2018-04-24 00:00:00,000","812","989"
"A5N3S","2017-11-01 00:00:00,000","646","1102"
"A5N3S","2017-10-25 00:00:00,000","105","596"
"A5N3S","2017-08-15 00:00:00,000","1028","1197"
"A5N3S","2017-02-21 00:00:00,000","203","401"
"A5N3S","2018-01-01 00:00:00,000","812","1046"
"A5N3S","2017-03-13 00:00:00,000","604","955"
"A5N3S","2017-12-01 00:00:00,000","80","174"
"A5N3S","2017-01-27 00:00:00,000","579","695"
"A5N3S","2018-03-16 00:00:00,000","436","1091"
"A5N3S","2017-01-21 00:00:00,000","1174","1185"
"A5N3S","2017-10-08 00:00:00,000","504","1122"
"A5N3S","2017-02-26 00:00:00,000","94","525"
"A5N3S","2017-09-24 00:00:00,000","392","1179"
"A5N3S","2017-09-21 00:00:00,000","712","1032"
"A5N3S","2017-11-10 00:00:00,000","755","1144"
"X0643","2017-05-16 00:00:00,000","798","1178"
"X0643","2017-01-14 00:00:00,000","65","287"
"X0643","2018-01-09 00:00:00,000","957","1164"
"X0643","2018-01-11 00:00:00,000","1077","1121"
"X0643","2017-03-12 00:00:00,000","1026","1149"
"X0643","2017-06-28 00:00:00,000","245","963"
"8T75D","2017-04-02 00:00:00,000","18","1138"
"8T75D","2017-06-01 00:00:00,000","1027","1165"
"8T75D","2017-11-12 00:00:00,000","410","735"
"8T75D","2018-01-13 00:00:00,000","700","952"
"8T75D","2018-04-13 00:00:00,000","596","671"
"8T75D","2017-03-27 00:00:00,000","638","702"
"8T75D","2017-10-04 00:00:00,000","1138","1180"
"8T75D","2017-02-08 00:00:00,000","39","1133"
"8T75D","2017-08-01 00:00:00,000","34","712"
"8T75D","2017-07-20 00:00:00,000","777","827"
"8T75D","2018-01-30 00:00:00,000","98","1093"
"8T75D","2018-03-29 00:00:00,000","437","570"
"8T75D","2018-02-13 00:00:00,000","179","993"
"8T75D","2018-03-13 00:00:00,000","941","1044"
"8T75D","2018-01-23 00:00:00,000","726","1016"
"8T75D","2017-02-15 00:00:00,000","361","941"
"8T75D","2018-04-21 00:00:00,000","200","606"
"8T75D","2017-05-23 00:00:00,000","477","619"
"8T75D","2017-10-09 00:00:00,000","1147","1181"
"8T75D","2017-11-13 00:00:00,000","117","778"
"8T75D","2018-01-11 00:00:00,000","202","328"
"8T75D","2017-08-23 00:00:00,000","427","511"
"8T75D","2018-02-19 00:00:00,000","588","1028"
"R440Q","2017-09-08 00:00:00,000","374","1179"
"R440Q","2017-09-23 00:00:00,000","1077","1123"
"R440Q","2017-02-03 00:00:00,000","819","1096"
"R440Q","2018-03-29 00:00:00,000","809","960"
"R440Q","2017-12-06 00:00:00,000","775","790"
"R440Q","2017-01-21 00:00:00,000","856","927"
"R440Q","2017-11-21 00:00:00,000","237","262"
"R440Q","2017-02-20 00:00:00,000","79","474"
"R440Q","2017-12-24 00:00:00,000","888","1035"
"R440Q","2017-02-02 00:00:00,000","939","1104"
"R440Q","2017-09-04 00:00:00,000","279","796"
"R440Q","2017-09-06 00:00:00,000","1051","1103"
"R440Q","2017-06-26 00:00:00,000","184","1033"
"R440Q","2018-02-23 00:00:00,000","1174","1188"
"R440Q","2017-03-15 00:00:00,000","89","1021"
"R440Q","2018-04-26 00:00:00,000","806","952"
"R440Q","2017-10-22 00:00:00,000","738","779"
"R4J4S","2017-01-06 00:00:00,000","87","945"
"R4J4S","2018-04-25 00:00:00,000","745","1120"
"R4J4S","2018-03-05 00:00:00,000","772","1025"
"R4J4S","2017-10-07 00:00:00,000","503","544"
"R4J4S","2017-05-31 00:00:00,000","1046","1109"
"R4J4S","2017-09-14 00:00:00,000","1109","1150"
"R4J4S","2017-01-20 00:00:00,000","650","903"
"R4J4S","2017-08-21 00:00:00,000","492","697"
"R4J4S","2018-03-04 00:00:00,000","111","900"
"R4J4S","2018-03-24 00:00:00,000","906","1179"
"R4J4S","2018-03-22 00:00:00,000","1107","1110"
"K055L","2017-12-17 00:00:00,000","861","1086"
"K055L","2017-10-20 00:00:00,000","247","512"
"K055L","2017-09-10 00:00:00,000","321","1078"
"K055L","2017-10-22 00:00:00,000","800","872"
"K055L","2017-05-18 00:00:00,000","924","1062"
"K055L","2017-07-11 00:00:00,000","946","964"
"K055L","2018-02-15 00:00:00,000","1056","1097"
"K055L","2017-12-22 00:00:00,000","433","673"
"K055L","2017-08-31 00:00:00,000","698","1199"
"338FV","2017-10-29 00:00:00,000","279","306"
"338FV","2017-05-25 00:00:00,000","122","304"
"338FV","2017-06-04 00:00:00,000","275","375"
"338FV","2017-08-26 00:00:00,000","663","1030"
"338FV","2017-01-26 00:00:00,000","812","1120"
"338FV","2018-04-03 00:00:00,000","557","1071"
"338FV","2018-01-28 00:00:00,000","872","1052"
"338FV","2018-02-17 00:00:00,000","778","790"
"338FV","2018-01-19 00:00:00,000","794","806"
"338FV","2018-03-10 00:00:00,000","925","1029"
"338FV","2017-07-01 00:00:00,000","388","1103"
"338FV","2017-09-27 00:00:00,000","1038","1089"
"338FV","2017-09-21 00:00:00,000","615","686"
"338FV","2018-02-09 00:00:00,000","801","1159"
"338FV","2017-01-11 00:00:00,000","370","990"
"338FV","2017-06-26 00:00:00,000","664","1024"
"401Y4","2018-04-09 00:00:00,000","90","238"
"401Y4","2017-12-03 00:00:00,000","699","1111"
"401Y4","2017-04-08 00:00:00,000","816","1013"
"401Y4","2017-05-03 00:00:00,000","120","1011"
"401Y4","2017-01-16 00:00:00,000","5","888"
"401Y4","2017-02-04 00:00:00,000","681","774"
"401Y4","2017-12-23 00:00:00,000","138","635"
"401Y4","2017-05-27 00:00:00,000","675","897"
"401Y4","2018-04-23 00:00:00,000","99","664"
"401Y4","2018-04-10 00:00:00,000","911","943"
"401Y4","2017-08-25 00:00:00,000","385","871"
"401Y4","2017-06-20 00:00:00,000","404","1017"
"401Y4","2017-05-31 00:00:00,000","773","1026"
"401Y4","2017-02-26 00:00:00,000","241","595"
"401Y4","2017-10-10 00:00:00,000","733","1033"
"401Y4","2017-06-11 00:00:00,000","561","1190"
"401Y4","2017-05-09 00:00:00,000","685","1109"
"401Y4","2017-07-30 00:00:00,000","461","688"
"401Y4","2017-09-15 00:00:00,000","441","501"
"401Y4","2017-12-30 00:00:00,000","112","208"
"401Y4","2017-04-04 00:00:00,000","866","1043"
"DEQP8","2018-01-06 00:00:00,000","409","879"
"DEQP8","2017-12-15 00:00:00,000","641","1010"
"DEQP8","2017-01-23 00:00:00,000","624","806"
"DEQP8","2017-11-29 00:00:00,000","689","935"
"DEQP8","2017-07-27 00:00:00,000","227","1192"
"DEQP8","2018-03-11 00:00:00,000","66","274"
"DEQP8","2018-02-21 00:00:00,000","51","750"
"DEQP8","2017-12-03 00:00:00,000","575","777"
"N7F6U","2017-04-21 00:00:00,000","245","898"
"N7F6U","2017-02-22 00:00:00,000","203","1104"
"N7F6U","2017-04-25 00:00:00,000","68","375"
"N7F6U","2017-09-10 00:00:00,000","413","767"
"N7F6U","2017-03-06 00:00:00,000","408","755"
"N7F6U","2017-11-11 00:00:00,000","736","1150"
"N7F6U","2017-01-16 00:00:00,000","1003","1146"
"N7F6U","2017-08-09 00:00:00,000","108","1020"
"N7F6U","2018-02-08 00:00:00,000","351","760"
"N7F6U","2017-02-24 00:00:00,000","1131","1138"
"N7F6U","2017-08-10 00:00:00,000","320","1190"
"N7F6U","2017-10-02 00:00:00,000","344","972"
"N7F6U","2018-02-16 00:00:00,000","934","1080"
"N7F6U","2017-01-20 00:00:00,000","1196","1199"
"Z7Y82","2017-01-23 00:00:00,000","678","802"
"Z7Y82","2017-04-18 00:00:00,000","638","1179"
"Z7Y82","2017-07-23 00:00:00,000","903","1188"
"Z7Y82","2017-12-25 00:00:00,000","614","832"
"Z7Y82","2018-02-13 00:00:00,000","509","555"
"Z7Y82","2018-02-23 00:00:00,000","447","659"
"Z7Y82","2018-04-17 00:00:00,000","1183","1192"
"Z7Y82","2017-09-25 00:00:00,000","1089","1176"
"THJ81","2017-11-09 00:00:00,000","1043","1068"
"THJ81","2018-04-12 00:00:00,000","219","575"
"THJ81","2017-09-20 00:00:00,000","226","1040"
"THJ81","2018-02-23 00:00:00,000","129","497"
"THJ81","2017-12-09 00:00:00,000","353","734"
"THJ81","2017-07-04 00:00:00,000","976","1176"
"THJ81","2018-03-03 00:00:00,000","124","1112"
"THJ81","2017-05-31 00:00:00,000","1088","1161"
"THJ81","2017-07-18 00:00:00,000","570","879"
"THJ81","2017-01-16 00:00:00,000","686","1113"
"THJ81","2017-06-01 00:00:00,000","607","1092"
"THJ81","2017-12-08 00:00:00,000","509","610"
"51SWX","2017-08-09 00:00:00,000","1171","1189"
"51SWX","2017-04-13 00:00:00,000","532","1141"
"51SWX","2017-04-07 00:00:00,000","1124","1185"
"51SWX","2018-01-04 00:00:00,000","327","585"
"51SWX","2017-02-17 00:00:00,000","1176","1177"
"4TZ45","2017-10-08 00:00:00,000","620","935"
"4TZ45","2018-01-28 00:00:00,000","610","1176"
"4TZ45","2017-05-27 00:00:00,000","891","922"
"4TZ45","2017-02-13 00:00:00,000","197","474"
"5Y85X","2017-12-11 00:00:00,000","67","460"
"5Y85X","2017-09-13 00:00:00,000","1071","1146"
"5Y85X","2017-05-16 00:00:00,000","1033","1141"
"5Y85X","2017-08-14 00:00:00,000","10","335"
"5Y85X","2017-05-23 00:00:00,000","390","643"
"5Y85X","2018-01-16 00:00:00,000","320","1085"
"5Y85X","2017-05-26 00:00:00,000","156","824"
"5Y85X","2017-10-14 00:00:00,000","883","1140"
"5Y85X","2017-08-10 00:00:00,000","1167","1169"
"5Y85X","2017-04-19 00:00:00,000","590","877"
"5Y85X","2017-03-24 00:00:00,000","420","1171"
"5Y85X","2018-01-06 00:00:00,000","1195","1200"
"5Y85X","2017-07-01 00:00:00,000","178","358"
"5Y85X","2017-12-18 00:00:00,000","442","662"
"5Y85X","2017-04-17 00:00:00,000","221","248"
"5Y85X","2017-05-25 00:00:00,000","175","704"
"5Y85X","2017-01-04 00:00:00,000","951","1019"
"5Y85X","2017-06-04 00:00:00,000","279","374"
"5Y85X","2017-08-16 00:00:00,000","1115","1155"
"5Y85X","2018-02-16 00:00:00,000","630","1077"
"5Y85X","2017-09-09 00:00:00,000","61","801"
"2Q45D","2017-08-09 00:00:00,000","1065","1196"
"2Q45D","2017-10-19 00:00:00,000","827","830"
"2Q45D","2017-01-27 00:00:00,000","1148","1192"
"2Q45D","2017-10-14 00:00:00,000","758","935"
"2Q45D","2017-06-24 00:00:00,000","1059","1196"
"2Q45D","2017-12-29 00:00:00,000","1051","1110"
"2Q45D","2018-03-05 00:00:00,000","414","936"
"2Q45D","2018-01-24 00:00:00,000","901","1079"
"2Q45D","2017-02-08 00:00:00,000","137","1133"
"2Q45D","2017-12-27 00:00:00,000","4","1188"
"2Q45D","2018-03-03 00:00:00,000","613","671"
"2Q45D","2017-12-16 00:00:00,000","1010","1129"
"2Q45D","2017-09-14 00:00:00,000","711","853"
"2Q45D","2017-10-18 00:00:00,000","13","1015"
"E43E8","2017-04-26 00:00:00,000","158","954"
"E43E8","2018-01-01 00:00:00,000","688","1130"
"E43E8","2017-05-28 00:00:00,000","492","830"
"E43E8","2017-03-07 00:00:00,000","489","1038"
"E43E8","2017-11-17 00:00:00,000","905","1001"
"E43E8","2017-10-13 00:00:00,000","161","342"
"E43E8","2017-09-06 00:00:00,000","266","613"
"E43E8","2018-02-26 00:00:00,000","514","743"
"E43E8","2018-04-26 00:00:00,000","256","706"
"TXNSC","2017-03-26 00:00:00,000","1065","1160"
"TXNSC","2017-05-22 00:00:00,000","450","850"
"TXNSC","2017-02-25 00:00:00,000","779","931"
"TXNSC","2018-02-12 00:00:00,000","943","1014"
"TXNSC","2017-07-29 00:00:00,000","576","842"
"TXNSC","2017-08-10 00:00:00,000","213","830"
"TXNSC","2017-11-29 00:00:00,000","964","1167"
"TXNSC","2017-10-10 00:00:00,000","409","1031"
"TXNSC","2017-07-20 00:00:00,000","761","1140"
"TXNSC","2017-03-22 00:00:00,000","680","975"
"TXNSC","2017-06-14 00:00:00,000","73","691"
"TXNSC","2017-10-16 00:00:00,000","273","276"
"TXNSC","2017-02-07 00:00:00,000","568","1153"
"TXNSC","2017-04-27 00:00:00,000","909","1171"
"TXNSC","2017-02-21 00:00:00,000","930","1030"
"TXNSC","2017-02-20 00:00:00,000","655","991"
"TXNSC","2017-08-03 00:00:00,000","47","217"
"TXNSC","2017-04-26 00:00:00,000","1066","1096"
"TXNSC","2017-12-05 00:00:00,000","34","732"
"TXNSC","2017-12-01 00:00:00,000","630","842"
"TXNSC","2017-09-27 00:00:00,000","788","920"
"TXNSC","2017-10-09 00:00:00,000","806","1188"
"TXNSC","2017-03-25 00:00:00,000","44","466"
"TXNSC","2018-02-15 00:00:00,000","176","843"
"TXNSC","2017-04-05 00:00:00,000","1048","1135"
"TXNSC","2017-12-04 00:00:00,000","490","683"
"TXNSC","2017-10-23 00:00:00,000","290","623"
"TXNSC","2017-02-01 00:00:00,000","805","1137"
"1G2F7","2018-04-28 00:00:00,000","1104","1144"
"1G2F7","2017-12-11 00:00:00,000","1154","1178"
"1G2F7","2017-07-08 00:00:00,000","932","1167"
"1G2F7","2017-05-09 00:00:00,000","844","1141"
"1G2F7","2017-12-22 00:00:00,000","697","991"
"1G2F7","2017-06-08 00:00:00,000","333","605"
"0862D","2017-11-04 00:00:00,000","538","856"
"0862D","2018-01-17 00:00:00,000","723","782"
"0862D","2017-01-12 00:00:00,000","492","959"
"1G205","2017-08-11 00:00:00,000","189","358"
"1G205","2017-05-14 00:00:00,000","310","701"
"1G205","2017-04-10 00:00:00,000","1125","1163"
"1G205","2017-12-09 00:00:00,000","911","1151"
"1G205","2017-05-27 00:00:00,000","99","271"
"1G205","2017-04-19 00:00:00,000","1021","1046"
"1G205","2017-03-08 00:00:00,000","734","1020"
"1G205","2017-06-20 00:00:00,000","1017","1121"
"1G205","2017-11-15 00:00:00,000","1031","1038"
"6071T","2017-06-03 00:00:00,000","287","501"
"6071T","2017-07-27 00:00:00,000","430","869"
"6071T","2018-02-03 00:00:00,000","75","939"
"6071T","2017-08-16 00:00:00,000","606","1143"
"6071T","2017-10-03 00:00:00,000","979","1050"
"6071T","2017-09-20 00:00:00,000","440","444"
"6071T","2017-05-02 00:00:00,000","957","1180"
"6071T","2017-05-09 00:00:00,000","82","266"
"6071T","2018-03-29 00:00:00,000","763","1136"
"6071T","2017-03-04 00:00:00,000","936","1124"
"6071T","2017-01-16 00:00:00,000","1184","1200"
"6071T","2017-08-07 00:00:00,000","759","1184"
"6071T","2017-02-07 00:00:00,000","904","912"
"6071T","2018-04-28 00:00:00,000","670","759"
"6071T","2017-10-11 00:00:00,000","818","963"
"6071T","2017-12-31 00:00:00,000","1055","1163"
"4D5R1","2017-03-18 00:00:00,000","83","493"
"4D5R1","2017-11-17 00:00:00,000","757","1198"
"4D5R1","2018-02-02 00:00:00,000","956","1024"
"4D5R1","2018-03-28 00:00:00,000","976","1190"
"4D5R1","2017-06-07 00:00:00,000","811","1084"
"4D5R1","2017-04-07 00:00:00,000","320","723"
"4D5R1","2017-08-28 00:00:00,000","1110","1187"
"4D5R1","2018-03-04 00:00:00,000","85","140"
"4D5R1","2018-04-06 00:00:00,000","403","896"
"4D5R1","2017-09-11 00:00:00,000","365","1146"
"4D5R1","2017-05-30 00:00:00,000","545","921"
"4D5R1","2017-02-04 00:00:00,000","791","1122"
"4D5R1","2017-10-28 00:00:00,000","902","1175"
"4D5R1","2017-01-09 00:00:00,000","5","451"
"4D5R1","2017-07-14 00:00:00,000","244","442"
"4D5R1","2017-12-23 00:00:00,000","657","941"
"4D5R1","2017-11-19 00:00:00,000","517","595"
"4D5R1","2018-02-18 00:00:00,000","1075","1104"
"4D5R1","2017-03-02 00:00:00,000","417","545"
"4D5R1","2017-05-11 00:00:00,000","967","1041"
"4D5R1","2018-02-03 00:00:00,000","411","867"
"4D5R1","2017-02-04 00:00:00,000","437","788"
"4D5R1","2017-06-11 00:00:00,000","290","736"
"4D5R1","2017-12-27 00:00:00,000","133","904"
"82GA2","2017-01-01 00:00:00,000","431","1116"
"82GA2","2017-03-23 00:00:00,000","1163","1166"
"82GA2","2017-08-07 00:00:00,000","130","344"
"82GA2","2018-04-02 00:00:00,000","817","1104"
"82GA2","2017-11-14 00:00:00,000","529","723"
"82GA2","2017-12-25 00:00:00,000","1009","1155"
"82GA2","2017-07-28 00:00:00,000","1122","1151"
"82GA2","2017-12-05 00:00:00,000","69","724"
"82GA2","2017-10-31 00:00:00,000","1035","1150"
"82GA2","2017-11-26 00:00:00,000","258","732"
"82GA2","2018-03-23 00:00:00,000","939","1135"
"82GA2","2017-03-15 00:00:00,000","22","728"
"82GA2","2017-06-29 00:00:00,000","519","1177"
"82GA2","2017-12-19 00:00:00,000","893","1024"
"82GA2","2017-07-16 00:00:00,000","10","869"
"82GA2","2018-01-08 00:00:00,000","980","1035"
"82GA2","2017-11-09 00:00:00,000","157","669"
"82GA2","2017-09-10 00:00:00,000","410","462"
"W83OD","2017-05-25 00:00:00,000","683","1052"
"W83OD","2018-01-23 00:00:00,000","714","813"
"W83OD","2017-12-16 00:00:00,000","7","502"
"W83OD","2017-01-26 00:00:00,000","342","889"
"W83OD","2018-01-25 00:00:00,000","428","1122"
"12C5R","2017-11-08 00:00:00,000","849","982"
"12C5R","2017-01-30 00:00:00,000","284","796"
"12C5R","2017-12-07 00:00:00,000","445","900"
"12C5R","2018-04-29 00:00:00,000","141","882"
"12C5R","2018-01-21 00:00:00,000","343","950"
"12C5R","2017-04-20 00:00:00,000","427","566"
"12C5R","2018-01-31 00:00:00,000","383","546"
"12C5R","2017-12-29 00:00:00,000","1174","1189"
"12C5R","2017-08-05 00:00:00,000","1012","1015"
"12C5R","2017-10-29 00:00:00,000","471","511"
"12C5R","2017-03-14 00:00:00,000","544","726"
"12C5R","2018-01-14 00:00:00,000","473","1146"
"12C5R","2018-03-12 00:00:00,000","912","1186"
"12C5R","2017-05-19 00:00:00,000","1140","1151"
"12C5R","2018-01-29 00:00:00,000","827","1182"
"12C5R","2017-09-08 00:00:00,000","99","753"
"8AEAE","2017-10-08 00:00:00,000","564","689"
"8AEAE","2017-10-25 00:00:00,000","951","1200"
"8AEAE","2017-11-10 00:00:00,000","899","973"
"8AEAE","2018-02-17 00:00:00,000","822","1046"
"T80FG","2017-06-12 00:00:00,000","239","437"
"T80FG","2017-09-22 00:00:00,000","162","462"
"T80FG","2017-09-17 00:00:00,000","327","699"
"T80FG","2017-07-26 00:00:00,000","17","952"
"T80FG","2018-01-27 00:00:00,000","19","124"
"T80FG","2017-10-23 00:00:00,000","242","486"
"T80FG","2017-08-21 00:00:00,000","221","672"
"T80FG","2017-10-22 00:00:00,000","483","502"
"T80FG","2017-06-06 00:00:00,000","1061","1070"
"T80FG","2018-01-02 00:00:00,000","145","646"
"T80FG","2017-11-25 00:00:00,000","775","880"
"T80FG","2018-01-06 00:00:00,000","8","679"
"T80FG","2017-11-15 00:00:00,000","188","530"
"T80FG","2017-12-26 00:00:00,000","621","1121"
"T80FG","2017-08-17 00:00:00,000","704","762"
"T80FG","2017-07-23 00:00:00,000","558","641"
"T80FG","2017-06-12 00:00:00,000","36","884"
"T80FG","2018-01-27 00:00:00,000","141","276"
"T80FG","2017-04-07 00:00:00,000","499","1056"
"T80FG","2017-06-09 00:00:00,000","1191","1198"
"T80FG","2017-03-15 00:00:00,000","42","61"
"T80FG","2017-02-12 00:00:00,000","512","527"
"T80FG","2017-04-11 00:00:00,000","533","639"
"T80FG","2017-03-19 00:00:00,000","1176","1183"
"T80FG","2018-04-17 00:00:00,000","179","829"
"T80FG","2018-02-16 00:00:00,000","515","945"
"T80FG","2017-12-27 00:00:00,000","413","569"
"T80FG","2018-01-17 00:00:00,000","585","1020"
"0CR33","2017-10-19 00:00:00,000","970","1190"
"0CR33","2017-09-25 00:00:00,000","1166","1178"
"0CR33","2017-07-21 00:00:00,000","788","918"
"0CR33","2017-08-29 00:00:00,000","728","728"
"0CR33","2017-11-28 00:00:00,000","1070","1146"
"0CR33","2017-03-12 00:00:00,000","630","746"
"0CR33","2017-04-06 00:00:00,000","619","1003"
"0CR33","2017-08-18 00:00:00,000","375","1140"
"4JX11","2017-11-27 00:00:00,000","880","1055"
"4JX11","2017-01-10 00:00:00,000","402","1043"
"4JX11","2017-05-03 00:00:00,000","302","1117"
"4JX11","2018-01-05 00:00:00,000","810","922"
"4JX11","2017-06-29 00:00:00,000","585","781"
"4JX11","2017-05-13 00:00:00,000","208","739"
"4JX11","2017-10-09 00:00:00,000","379","531"
"4JX11","2017-11-08 00:00:00,000","641","830"
"4JX11","2018-04-16 00:00:00,000","522","995"
"4JX11","2018-04-27 00:00:00,000","405","567"
"4JX11","2017-02-21 00:00:00,000","660","936"
"4JX11","2017-06-04 00:00:00,000","601","694"
"4JX11","2017-02-03 00:00:00,000","558","1047"
"4JX11","2017-07-01 00:00:00,000","831","879"
"4JX11","2017-02-11 00:00:00,000","495","738"
"4JX11","2018-04-18 00:00:00,000","685","994"
"4JX11","2017-11-22 00:00:00,000","655","710"
"4JX11","2018-03-24 00:00:00,000","855","1177"
"4JX11","2017-01-18 00:00:00,000","366","755"
"4JX11","2017-11-18 00:00:00,000","1149","1173"
"4JX11","2017-08-21 00:00:00,000","536","658"
"4JX11","2017-11-29 00:00:00,000","462","513"
"4JX11","2017-06-04 00:00:00,000","964","971"
"4JX11","2017-02-07 00:00:00,000","594","760"
"4JX11","2017-11-01 00:00:00,000","925","1180"
"4JX11","2017-05-31 00:00:00,000","795","1118"
"4JX11","2017-03-15 00:00:00,000","708","1144"
"4JX11","2017-08-31 00:00:00,000","882","1158"
"GHDP5","2017-08-07 00:00:00,000","1087","1124"
"GHDP5","2017-12-25 00:00:00,000","764","832"
"GHDP5","2017-03-02 00:00:00,000","1031","1043"
"GHDP5","2017-11-13 00:00:00,000","989","1011"
"GHDP5","2017-02-15 00:00:00,000","1081","1145"
"GHDP5","2017-07-03 00:00:00,000","956","975"
"GHDP5","2018-04-24 00:00:00,000","98","512"
"GHDP5","2018-04-29 00:00:00,000","964","1002"
"GHDP5","2017-02-01 00:00:00,000","745","875"
"D8FT1","2017-02-17 00:00:00,000","579","848"
"D8FT1","2017-04-08 00:00:00,000","969","1068"
"D8FT1","2017-06-01 00:00:00,000","835","888"
"D8FT1","2017-10-22 00:00:00,000","340","1125"
"D8FT1","2017-08-11 00:00:00,000","997","1004"
"D8FT1","2017-11-07 00:00:00,000","43","580"
"D8FT1","2017-03-19 00:00:00,000","193","1027"
"D8FT1","2017-01-05 00:00:00,000","1094","1134"
"D8FT1","2017-11-06 00:00:00,000","1041","1145"
